id,siglaPartido,siglaUf,idLegislatura,sexo
73531,PSOL,SP,56,M
204436,MDB,AL,56,M
204508,PODE,MG,56,M
204564,DEM,BA,56,M
204533,PDT,CE,56,M
160674,REPUBLICANOS,PB,56,M
141450,PSD,RJ,56,M
178959,PP,RR,56,M
178884,MDB,MA,56,M
73772,MDB,PR,56,M
178981,MDB,SP,56,M
204539,MDB,MG,56,M
73482,PT,RS,56,M
217036,REPUBLICANOS,SP,56,M
204444,PSL,RJ,56,M
178909,DEM,PA,56,M
204373,REPUBLICANOS,SC,56,M
178873,PT,ES,56,M
178964,PSB,RS,56,M
204548,PSL,CE,56,M
204465,PSD,RR,56,M
204456,MDB,RJ,56,M
204408,SOLIDARIEDADE,SE,56,M
73460,PDT,PR,56,M
204442,PSL,RJ,56,M
160667,PP,SP,56,M
204531,PP,SP,56,M
204513,PSL,SP,56,M
74419,PSB,PE,56,M
204419,PSC,GO,56,M
152605,PSOL,RJ,56,M
178996,MDB,RS,56,M
160673,PL,RS,56,M
204365,NOVO,SC,56,M
74270,PSC,SP,56,M
204491,REPUBLICANOS,MG,56,M
204575,REPUBLICANOS,MA,56,M
74383,PL,PR,56,M
204394,PSB,PB,56,M
74374,PSDB,MS,56,M
204527,DEM,SP,56,M
204484,PSL,SP,56,M
204473,PSL,RN,56,M
160669,SOLIDARIEDADE,CE,56,M
115746,PL,RJ,56,M
74200,PROS,MA,56,M
204393,PT,PB,56,M
204494,PATRIOTA,MG,56,M
204510,PP,MG,56,M
204392,PSD,GO,56,M
191923,PDT,PI,56,M
141434,MDB,AC,56,M
204411,PSL,PR,56,M
204427,PL,PE,56,M
92699,PP,PE,56,M
204445,PT,RN,56,M
141431,DEM,PE,56,M
212504,AVANTE,MG,56,M
160666,PDT,BA,56,M
204371,PSB,ES,56,M
204398,PSL,PR,56,M
72442,PSB,PE,56,M
204477,PSL,RJ,56,M
66828,PP,SP,56,M
160587,PSD,MS,56,M
204368,PSL,SC,56,M
171623,MDB,SE,56,M
141427,MDB,MG,56,M
178969,PSD,SE,56,M
68720,PDT,SE,56,M
141428,PSD,RN,56,M
211866,CIDADANIA,MG,56,M
178953,PSD,RO,56,M
178871,PP,ES,56,M
204482,PSC,MG,56,M
160640,PROS,MG,56,M
204537,PV,SP,56,M
132504,PT,PR,56,M
207309,PSL,MG,56,M
161550,PSB,MG,56,M
198783,PTB,MT,56,M
178854,DEM,BA,56,M
204389,PSB,GO,56,M
160532,DEM,SP,56,M
204364,SOLIDARIEDADE,TO,56,M
141422,DEM,PB,56,M
141421,PP,PE,56,M
178977,PSDB,SP,56,M
204500,PTB,PA,56,M
204552,PODE,MA,56,M
92346,PSL,SP,56,M
204541,PDT,CE,56,M
74655,PSDB,MG,56,M
134812,PSOL,PA,56,M
141417,PL,RR,56,M
204562,PSD,MA,56,M
204412,DEM,GO,56,M
178830,PODE,SP,56,M
204351,PSL,MS,56,M
204450,PP,RJ,56,M
204439,SOLIDARIEDADE,MT,56,M
213679,PROS,BA,56,M
204481,PL,CE,56,M
212625,REPUBLICANOS,MA,56,M
204518,PATRIOTA,MG,56,M
213854,PROS,CE,56,M
160758,PSDB,MG,56,M
143632,PSD,CE,56,M
160599,PP,MG,56,M
178929,PODE,PR,56,M
160588,PSD,MG,56,M
213856,REPUBLICANOS,CE,56,M
204542,PSB,CE,56,M
164359,PSL,GO,56,M
204569,PSL,AM,56,M
204512,PSL,MG,56,M
178908,PSD,PA,56,M
204451,PSL,RJ,56,M
204511,DEM,SP,56,M
205548,PSOL,RJ,56,M
73891,MDB,RS,56,M
116379,PSD,SC,56,M
160552,PSD,RS,56,M
62881,PSDB,CE,56,M
160528,PSB,PE,56,M
204409,PSDB,RS,56,M
204454,PSL,RJ,56,M
204367,PSL,SC,56,M
178916,CIDADANIA,PE,56,M
74060,PCdoB,BA,56,M
74467,PDT,PB,56,M
141411,PDT,MS,56,M
204355,CIDADANIA,ES,56,M
135054,PL,PA,56,M
178963,PP,RS,56,M
204514,PSL,SP,56,M
204378,PSL,RO,56,M
204376,PSL,SC,56,M
141408,REPUBLICANOS,MA,56,M
74537,PP,BA,56,M
204440,PP,RJ,56,M
204476,AVANTE,RJ,56,M
141440,PCdoB,CE,56,M
141439,PDT,RJ,56,M
204490,PSL,MG,56,M
205476,PSD,BA,56,M
204504,PSD,SP,56,M
204496,PSL,PA,56,M
73441,REPUBLICANOS,SP,56,M
141405,MDB,SC,56,M
204488,PV,CE,56,M
178876,PSDB,GO,56,M
204370,PT,TO,56,M
204499,PSB,PA,56,M
141398,PT,SP,56,M
204426,PT,PE,56,M
74262,PSDB,SP,56,M
204460,PSL,RJ,56,M
178993,DEM,TO,56,M
178962,REPUBLICANOS,RS,56,M
204361,MDB,SC,56,M
141401,MDB,MT,56,M
204487,PROS,CE,56,M
178924,PL,PI,56,M
178829,PL,SP,56,M
204572,REPUBLICANOS,AM,56,M
204352,PSB,AP,56,M
178853,PT,BA,56,M
93083,PP,BA,56,M
204502,PSL,SP,56,M
204551,SOLIDARIEDADE,AM,56,M
74052,PL,SE,56,M
160538,PT,RS,56,M
204397,PROS,PR,56,M
204561,PSB,MA,56,M
141513,DEM,MG,56,M
204388,PSL,RS,56,M
178948,PP,RN,56,M
204358,PSDB,MS,56,M
141335,PT,PA,56,M
109429,REPUBLICANOS,RN,56,M
178975,MDB,SP,56,M
69871,PODE,BA,56,M
160512,SOLIDARIEDADE,RJ,56,M
160665,SOLIDARIEDADE,PE,56,M
74459,PP,PI,56,M
74090,PP,AM,56,M
159237,PT,PI,56,M
160600,DEM,BA,56,M
160541,PP,AL,56,M
204414,REPUBLICANOS,PR,56,M
141391,CIDADANIA,SP,56,M
73433,PT,SP,56,M
160553,PSD,BA,56,M
74212,DEM,CE,56,M
