cod,sigla,nome,descricao
443,PSS,Parecer às Emendas ou ao Substitutivo do Senado,
444,PRC,Projeto de Resolução de Alteração do Regimento e outros,
445,NIC,Norma Interna,
448,REQ,Requerimento não previsto,
449,MSC,Mensagem de Implementação da Lei 10.147/00,
450,ERD,Emenda de Redação,
451,PPR,Parecer Reformulado de Plenário,
452,TER,Termo de Implementação,
453,RLP,Relatório Prévio,
454,PDC,Projeto de Decreto Legislativo de Perempção da Concessão,
455,RLF,Relatório Final,
456,PRT,Parecer Técnico,
457,PRO,Proposta,
459,REC,"Recurso contra decisão de presidente de Comissão em Reclamação (Art. 96, § 2º, RICD)",
460,OBJ,Objeto de Deliberação,
461,MSC,Mensagem de Missão de Paz (Art. 15 da LC 97/99),Art. 15 da Lei Complementar nº 97/99
462,,I) OUTROS ITENS SUJEITOS À DELIBERAÇÃO,
463,,G) PROPOSIÇÔES CN E SF TRAMITANDO NA CÂMARA (CMO E MERCOSUL),
464,PLS,Projeto de Lei do Senado Federal,
465,PLC,Projeto de Lei da Câmara dos Deputados (SF),
466,PDS,Projeto de Decreto Legislativo (SF),
467,RPD,Requerimento de Adiamento de Votação de Matéria Urgente,"Adiamento de Votação em Regime de Urgência, nos termos do art. 177, § 1º do RICD."
468,REQ,Requerimento de Encerramento de discussão em Comissão,
482,RDV,Redação do Vencido,
483,RST,Redação para o segundo turno,
484,RLP(R),Relatório Prévio Reformulado,
485,PDC,Projeto de Decreto Legislativo de Aprovação de Contas dos Presidentes,
486,RPD,Requerimento Procedimental de Sessão/Reunião,
487,EPP,Emenda ao Plano Plurianual,Emenda ao Plano Plurianual
488,EAG,Emenda Substitutiva Aglutinativa Global,
489,MSC,Mensagem que Propõe alteração a Projeto,
490,PEA,Parecer à Emenda Aglutinativa,
491,SPA,Sugestão de Emenda ao PPA - CLP,
492,TVR,Autorização - Rádio Comunitária - Dez anos,Autorização - Rádio Comunitária - Dez anos
493,MSC,Mensagem de Perempção de Rádio/TV,
494,PDC,Projeto de Decreto Legislativo de Alteração de Decreto Legislativo,
495,AV,Aviso,
496,IAN,Indicação da ANC (1987-88),
497,OF,Ofício Externo,
498,PCA,Parecer da ANC (1987-88),
499,PDA,Projeto de Decisão da ANC (1987-88),
500,PDC,Projeto de Decreto Legislativo de Autorização do Congresso Nacional,
501,PRA,Projeto de Resolução da ANC (1987-88),
503,RCM,Requerimento de Comissão Mista,
504,RQA,Requerimento de Informações da ANC (1987-88),
505,RQC,Requerimento de Convocação,
506,AA,Autógrafo,
507,REC,"Recurso contra Inadmissibilidade de PEC (Art. 202, § 1º do RICD)",
508,ESP,Emenda Substitutiva de Plenário,
509,SSP,Subemenda Substitutiva de Plenário,
513,MSC,Mensagem de Implementação da Lei 10.707/03,
514,PDC,Projeto de Decreto Legislativo de Ministro do TCU,
515,,K) PROPOSIÇÕES INATIVAS IMPORTADAS SINOPSE,
516,REQ,Requerimento de Inclusão na Ordem do Dia de proposição (com previsão ou durante o período de Convocação Extraordinário),
517,REQ,Requerimento de Interrupção da licença inferior a 120 dias,
518,RPD,Requerimento de Votação em globo dos destaques simples,
519,REQ,Requerimento de Afastamento paramissão temporária de caráter diplomático ou cultural,
520,REQ,Requerimento de Constituição de Comissão Especial de Projeto de Código,
521,REQ,Requerimento de Constituição de Comissão Especial de Projeto,
522,REQ,Requerimento de Constituição de Comissão Especial de Estudo,
523,REQ,Requerimento de Convocação de Ministro de Estado na Comissão,
524,REQ,Requerimento de Convocação de Sessão Extraordinária do CN,
525,REQ,Requerimento de Convocação de reunião extraordinária de comissão,
526,REQ,Requerimento de Destaque votação de emenda ou parte,
527,REQ,Requerimento de Destaque para votação de subemenda ou parte,
528,REQ,Requerimento de Destaque para tornar parte de emenda ou proposição projeto autonomo,
529,REQ,Requerimento de Destaque para votação de projeto ou substitutivo ou parte deles quando a preferencia cair sobre outro ou sobre proposições apensadas,
530,REQ,Requerimento de Destaque para votação de parte da proposição,
531,RPD,Requerimento de Prorrogação da sessão para discussão e votação da matéria da Ordem do Dia,
532,RPD,Requerimento de Prorrogação da sessão para audiência de Ministro de Estado,
533,RPD,Requerimento de Prorrogação da sessão para realização de homenagens,
534,REQ,Requerimento de Prorrogação de licença para tratamento de saúde (Licença inferior a 120 dias),
535,MMP,Mensagem (MPU),
536,RIN,Requerimento de Resolução Interna,
537,MST,Mensagem (STF),
538,APJ,Anteprojeto,
539,RQN,Requerimento do Congresso Nacional,"Solicitação feita pela Claudia da SGM em 30/05/2005 as 18:14 (Incluído por MarcoRuas).
Requerimento do Congresso nacional que servirá de suporte aos recursos R.C (novos recursos). "
540,R.C,Recurso do Congresso Nacional,"Solicitação feita pela Claudia da SGM em 30/05/2005 as 18:14 (Incluído por MarcoRuas).
Os recursos existente em RCN serão transferidos para este novo código."
541,MSC,Mensagem de Tranferência de Controle Societário,
550,PDL,Projeto de Decreto Legislativo,Projeto de Decreto Legislativo
551,PDL,Projeto de Decreto Legislativo de Medida Provisória,"Medida Provisória (Art. 62, § 3º da CF)"
552,PDL,Projeto de Decreto Legislativo de Referendo ou Plebiscito,"Plebiscito (Art. 49, XV da CF c/c o art. 3º Lei 9.709/98)"
553,PDL,"Projeto de Decreto Legislativo de Concessão, Renovação e Permissão de Radio/TV","Concessão/Renovação de Radio/TV (Art. 49, XII c/c 223 da CF)"
